Channel Name,Call Letters / Feed,Flagship,Type,Group,Region,Country,Network / Parent Company,Channel #,Timezone,Genre Focus,Shows You Might Like,Popular Shows / Notes,Streaming Alternative,Streaming Status,Feed Variant,Language,Availability,Notes / Annotations,matched_provider_name,matched_provider_norm,provider_xmltv_id,provider_site,provider_tag,provider_source_file,match_score,simple_ratio,token_set_ratio,match_method,confidence,alt1_name,alt1_score,alt2_name,alt2_score,base_key
10 Bold,10 Bold HD,No,Commercial,AU-Specialty,National,AU,Paramount ANZ,12,AEST,Drama; action,NCIS; Bull,Male-skewed drama feed,10Play,Free-to-air,HD,English,Free-to-air,,10,10,,abc.net.au,abc.net.au,abc.net.au_tsv.channels.xml,100,44,100,token_set,high,10,100,10,100,10 bold
A&E,A&E HD,Yes,Specialty,US-Specialty,National,US,A&E Networks,,Eastern,Docs; reality,The First 48; Intervention,Crime and real-life stories,AETV.com,Subscription,HD,English,IPTV only,,A&E,a and e,AE.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,A&E HD,100,E!,100,a and e
ABC East,WABC-DT,Yes,Commercial,US-Local,Eastern US,US,Disney,7.1,Eastern,News; drama; comedy,Abbott Elementary; Grey�??s Anatomy,Flagship ABC feed,ABC.com / Hulu,Free-to-air,HD,English,Free-to-air,,KABC (Los Angeles) ABC HD West,kabc los angeles abc,KABCDT1.us@SD,directv.com,directv.com,directv.com.channels.xml,100,26,100,token_set,high,KABC (Los Angeles) ABC West,100,"Parkersburg, WV WCHS ABC 8 A3 HD",100,abc
AMC,AMC HD,Yes,Specialty,US-Specialty,National,US,AMC Networks,,Eastern,Thriller; horror,The Walking Dead; Dark Winds,Flagship AMC feed,AMC+,Subscription,HD,English,IPTV only,,AMC,amc,AMC.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,AMC HD,100,AMC - Eastern Feed,100,amc
Bravo,Bravo HD,Yes,Specialty,US-Specialty,National,US,NBCUniversal,,Eastern,Reality; lifestyle,Top Chef; Real Housewives,Flagship Bravo feed,BravoTV.com,Subscription,HD,English,IPTV only,,Bravo,bravo,Bravo.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,Bravo HD,100,Bravo USA - Eastern Feed,100,bravo
CBS East,WCBS-DT,Yes,Commercial,US-Local,Eastern US,US,Paramount Global,2.1,Eastern,Drama; reality,FBI; Survivor; Blue Bloods,Flagship CBS feed,CBS.com / Paramount+,Free-to-air,HD,English,Free-to-air,,CBS Sports Network,cbs sports network,CBSSportsNetworkUSA.us@SD,directv.com,directv.com,directv.com.channels.xml,100,28,100,token_set,high,CBS Sports Network HD,100,KCBS (Los Angeles) CBS HD West,100,cbs
Cinemax,Cinemax HD,Yes,Premium,US-Specialty,National,US,Warner Bros. Discovery,,Eastern,Action; thrillers,Banshee; Strike Back,Flagship Cinemax feed,Max.com,Subscription,HD,English,IPTV only,,Cinemax,cinemax,Cinemax.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,Cinemax East HD,100,Cinemax Latino HD,100,cinemax
FOX East,WNYW-DT,Yes,Commercial,US-Local,Eastern US,US,Fox Corporation,5.1,Eastern,Reality; action,9-1-1; The Masked Singer,Flagship FOX feed,FOX.com / Hulu,Free-to-air,HD,English,Free-to-air,,Fox Business Network,fox business network,FoxBusinessNetwork.us@SD,directv.com,directv.com,directv.com.channels.xml,100,26,100,token_set,high,Fox Business Network HD,100,FOX Deportes,100,fox
FX East,FX East HD,Yes,Specialty,US-Specialty,Eastern US,US,Disney,,Eastern,Drama; edgy comedy,Fargo; The Bear,Flagship FX feed,FXNow.com,Subscription,HD,English,IPTV only,,FX,fx,FX.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,FX HD,100,FX Movie,100,fx
FXX,FXX HD,No,Specialty,US-Specialty,National,US,Disney,,Eastern,Comedy; animation,Archer; It�??s Always Sunny in Philadelphia,Youth and animation-focused FX feed,FXNow.com,Subscription,HD,English,IPTV only,,FXX,fxx,FXX.us@East,directv.com,directv.com,directv.com.channels.xml,100,100,100,token_set,high,FXX HD,100,FXX USA - Eastern,100,fxx
HBO East,HBO East HD,Yes,Premium,US-Specialty,Eastern US,US,Warner Bros. Discovery,,Eastern,Prestige drama,Succession; The Last of Us,Flagship HBO feed,Max.com,Subscription,HD,English,IPTV only,,HBO 2 East,hbo 2,HBO2.us@East,directv.com,directv.com,directv.com.channels.xml,100,75,100,token_set,high,HBO 2 West,100,HBO Comedy HD,100,hbo
