Channel Name,Call Letters / Feed,Flagship,Type,Group,Region,Country,Network / Parent Company,Channel #,Timezone,Genre Focus,Shows You Might Like,Popular Shows / Notes,Streaming Alternative,Streaming Status,Feed Variant,Language,Availability,Notes / Annotations,matched_provider_name,matched_provider_norm,provider_xmltv_id,provider_site,provider_tag,provider_source_file,match_score,simple_ratio,token_set_ratio,match_method,confidence,alt1_name,alt1_score,alt2_name,alt2_score
AMC Canada,AMC,No,Specialty,CA-Specialty,National,CA,AMC Networks,,Eastern,Thriller, horror,The Walking Dead; Dark Winds,Flagship AMC feed in Canada,AMC+,Subscription,HD,English,IPTV only,AMC - Canada,amc canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,100,100,token_set,high,AMC - Canada HD,100,E! Canada,85
BBC Canada,BBC Canada,No,Specialty,CA-Specialty,National,CA,BBC Studios,,Eastern,British drama; docs,Top Gear; Luther; Sherlock,Discontinued (archived on streaming),BritBox / Crave,Geo-restricted,HD,English,Streaming only,,BBC Arabic Canada,bbc arabic canada,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,74,100,token_set,high,BBC Canada East,100,CNBC Canada,85
CBC Halifax,CBHT-DT,Yes,Public,CA-Local,Eastern Canada,CA,CBC,3.1,Atlantic,News; docs,Land and Sea; The National,Atlantic flagship CBC feed,CBC Gem,Free-to-air,HD,English,Free-to-air,,"CBC (CBHT) Halifax, NS",cbc cbht halifax ns,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,73,100,token_set,high,CBC Television,100,CBHT Halifax (CBHT),86
CBC Ottawa,CBOT-DT,Yes,Public,CA-Local,Eastern Canada,CA,CBC,4.1,Eastern,News; docs,Marketplace; The National,Eastern flagship CBC feed,CBC Gem,Free-to-air,HD,English,Free-to-air,,CBC Television,cbc,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,46,100,token_set,high,CPAC Ottawa,85,CJOH CTV Ottawa HDTV (CJOH),75
CBC Toronto,CBLT-DT,Yes,Public,CA-Local,Southern Ontario,CA,CBC,5.1,Eastern,News; satire; drama,22 Minutes; Murdoch Mysteries,Flagship CBC feed for Ontario,CBC Gem,Free-to-air,HD,English,Free-to-air,,"CBC (CBLT) Toronto, ON",cbc cblt toronto on,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,73,100,token_set,high,"CBC (CBLT) Toronto, ON HD",100,CBC Television,100
CBC Vancouver,CBUT-DT,Yes,Public,CA-Local,Western Canada,CA,CBC,2.1,Pacific,News; docs,Nature of Things; The National,Western flagship CBC feed,CBC Gem,Free-to-air,HD,English,Free-to-air,,"CBC (CBUT) Vancouver, BC",cbc cbut vancouver bc,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,76,100,token_set,high,"CBC (CBUT) Vancouver, BC HD",100,CBC Television,100
CHCH Hamilton,CHCH-DT,Yes,Independent,CA-Local,Southern Ontario,CA,Channel Zero,11.1,Eastern,Local news; movies,CHCH News; Crime Beat,Southern Ontario local,CHCH.com,Free-to-air,HD,English,Free-to-air,,"CHCH Hamilton, ON",chch hamilton on,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,100,89,100,token_set,high,"CHCH Hamilton, ON HD",100,Cable 14 Hamilton,76
CHCH London,CHCH-DT-2,No,Independent,CA-Local,Southern Ontario,CA,Channel Zero,51.1,Eastern,Local news,CHCH News London,Regional feed of CHCH Hamilton,CHCH.com,Free-to-air,HD,English,Free-to-air,,"CHCH Hamilton, ON",chch hamilton on,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,74,74,74,token_set,low,"CHCH Hamilton, ON HD",74,CTV Two London/CFPL (CTV2L),70
Citytv Toronto,CITY-DT,Yes,Commercial,CA-Local,Southern Ontario,CA,Rogers Media,57.1,Eastern,Comedy; lifestyle,Hudson & Rex; Cityline,Flagship Citytv feed,Citytv.com,Free-to-air,HD,English,Free-to-air,,"CITY Toronto, ON",city toronto on,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,82,82,82,token_set,medium,"CITY Toronto, ON HD",82,"CTV2 Toronto, ON",75
Crave 1,Crave 1,Yes,Premium,CA-Specialty,National,CA,Bell Media,,Eastern,HBO; drama,The Last of Us; Succession,Flagship Crave feed,Crave.ca,Subscription,HD,English,IPTV only,,Crave Movies and HBO on Demand,crave movies and hbo on demand,,epgshare01.online,epgshare01.online,epgshare01.online_CA1.channels.xml,83,32,83,token_set,medium,Super Ecran HD 1,60,Channel 1 Russian,50
